   180/249      1.8G   0.01138  0.003041   0.01077    0.0252       120       224    0.9668    0.9921    0.9936    0.9338   0.01175   0.01196   0.08971
   181/249      1.8G   0.01156  0.003216   0.01093    0.0257       160       224    0.9872    0.9808    0.9951    0.9365   0.01142   0.01168   0.07831
   182/249      1.8G   0.01137  0.003331   0.01114   0.02584       149       224    0.9879     0.966    0.9945    0.9321   0.01107    0.0116   0.08351
   183/249      1.8G   0.01129  0.003211   0.01049   0.02499       147       224    0.9686    0.9618    0.9915    0.9307   0.01151   0.01196     0.083
   184/249      1.8G   0.01118  0.003292  0.009976   0.02445       137       224    0.9726    0.9705    0.9857    0.9287   0.01212   0.01207   0.09316
   185/249      1.8G    0.0113  0.003193   0.01001    0.0245       142       224    0.9626    0.9752    0.9882    0.9299   0.01188    0.0124   0.07665
   186/249      1.8G   0.01086  0.003268   0.01021   0.02433       136       224    0.9768    0.9852    0.9924    0.9285   0.01135   0.01175   0.08223
   187/249      1.8G   0.01118  0.003378   0.01064    0.0252       157       224    0.9884    0.9562    0.9919    0.9355   0.01128    0.0121   0.08798
   188/249      1.8G   0.01076  0.003033   0.00995   0.02374       129       224    0.9654    0.9775    0.9873    0.9316   0.01117   0.01169   0.07861
   189/249      1.8G   0.01103  0.002965   0.00989   0.02388       167       224    0.9718    0.9855    0.9876    0.9305   0.01108   0.01218   0.07303
   190/249      1.8G   0.01111  0.003018   0.01002   0.02415       154       224     0.979    0.9678    0.9876    0.9324   0.01134   0.01232   0.07655
   191/249      1.8G     0.011  0.002895  0.009712   0.02361       146       224    0.9721    0.9847     0.987    0.9325   0.01141   0.01223   0.07294
   192/249      1.8G   0.01102  0.003055  0.009909   0.02398       127       224    0.9652    0.9563    0.9874    0.9295   0.01083    0.0122   0.08244
   193/249      1.8G   0.01075  0.002891   0.01013   0.02377       144       224    0.9564    0.9796    0.9887    0.9326   0.01098   0.01206   0.06004
   194/249      1.8G   0.01063  0.002948  0.009686   0.02326       131       224    0.9611    0.9876    0.9889    0.9363   0.01123   0.01219   0.06728
   195/249      1.8G   0.01095  0.003034   0.01017   0.02416       145       224    0.9538    0.9668    0.9875    0.9328   0.01129    0.0125   0.08325
   196/249      1.8G    0.0112   0.00301  0.009672   0.02389       131       224    0.9514     0.947    0.9825    0.9239   0.01142   0.01265   0.08868
   197/249      1.8G   0.01095  0.002965  0.009135   0.02305       145       224    0.9465    0.9737    0.9863    0.9296   0.01118   0.01228   0.07857
   198/249      1.8G   0.01066  0.002852  0.009574   0.02308       143       224    0.9739    0.9799    0.9863    0.9325   0.01106   0.01241   0.07628
   199/249      1.8G   0.01079  0.002926  0.009422   0.02314       143       224     0.974     0.984    0.9878    0.9341    0.0113   0.01257   0.07156
