               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
104,0.60759,0.64411,1.1667,0.96961,0.9567,0.99198,0.92852,0.934866,0.4639,0.28969,1.0922,0.0059212,0.0059212,0.0059212
76,0.6359,0.68715,1.1761,0.94468,0.96489,0.99337,0.9281,0.934627,0.46726,0.31536,1.0952,0.00703,0.00703,0.00703
115,0.60309,0.62335,1.1529,0.95418,0.96164,0.98904,0.92837,0.934437,0.45211,0.30586,1.0823,0.0054856,0.0054856,0.0054856
118,0.60105,0.61415,1.1548,0.93879,0.99133,0.9856,0.92869,0.934381,0.46907,0.29319,1.096,0.0053668,0.0053668,0.0053668
117,0.6061,0.61524,1.162,0.95427,0.96765,0.98538,0.92835,0.934053,0.45725,0.31377,1.0865,0.0054064,0.0054064,0.0054064
105,0.61218,0.61873,1.1627,0.96947,0.94372,0.99213,0.92747,0.933936,0.46569,0.28717,1.0926,0.0058816,0.0058816,0.0058816
74,0.64145,0.7193,1.1676,0.94863,0.97185,0.98737,0.92738,0.933379,0.44749,0.30932,1.0821,0.0071092,0.0071092,0.0071092
86,0.62498,0.67448,1.1616,0.96064,0.92568,0.98807,0.9265,0.932657,0.479,0.33754,1.1026,0.006634,0.006634,0.006634
90,0.62902,0.68548,1.1637,0.98819,0.94266,0.99333,0.92536,0.932157,0.47915,0.30632,1.0972,0.0064756,0.0064756,0.0064756
62,0.65884,0.72883,1.1842,0.9739,0.95581,0.98949,0.9248,0.931269,0.49255,0.31995,1.1164,0.0075844,0.0075844,0.0075844
94,0.61681,0.65453,1.1645,0.97238,0.95036,0.99115,0.9244,0.931075,0.4707,0.31167,1.0931,0.0063172,0.0063172,0.0063172
66,0.65588,0.71846,1.1877,0.92963,0.93782,0.9833,0.92506,0.930884,0.46623,0.37923,1.0903,0.007426,0.007426,0.007426
78,0.64345,0.6929,1.1707,0.96691,0.97114,0.99142,0.92394,0.930688,0.49531,0.29981,1.1127,0.0069508,0.0069508,0.0069508
126,0.60913,0.62455,1.1643,0.93962,0.96851,0.98865,0.92399,0.930456,0.47544,0.295,1.0946,0.00505,0.00505,0.00505
83,0.62889,0.68637,1.1751,0.92133,0.92992,0.98343,0.92432,0.930231,0.475,0.36781,1.0925,0.0067528,0.0067528,0.0067528
97,0.62413,0.65344,1.1678,0.92635,0.95327,0.98438,0.92415,0.930173,0.47038,0.31443,1.098,0.0061984,0.0061984,0.0061984
84,0.62412,0.67125,1.1646,0.94861,0.93629,0.98158,0.92311,0.928957,0.46294,0.34659,1.093,0.0067132,0.0067132,0.0067132
81,0.62187,0.68728,1.1707,0.95594,0.96145,0.98822,0.92196,0.928586,0.47359,0.31586,1.0997,0.006832,0.006832,0.006832
