               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
23,0.74025,0.93487,1.2244,0.81216,0.91697,0.88826,0.81884,0.825782,0.54859,0.60404,1.1101,0.0091288,0.0091288,0.0091288
17,0.79234,1.0568,1.2501,0.82674,0.87847,0.89183,0.8152,0.822863,0.64011,0.61149,1.1961,0.0093664,0.0093664,0.0093664
14,0.81469,1.1223,1.2614,0.77647,0.88151,0.85481,0.78194,0.789227,0.61035,0.75276,1.1634,0.0094852,0.0094852,0.0094852
7,0.93099,1.3639,1.3261,0.72057,0.86972,0.84072,0.76086,0.768846,0.67035,0.74627,1.2112,0.0097624,0.0097624,0.0097624
19,0.7763,1.0142,1.2296,0.74664,0.8334,0.83132,0.76065,0.767717,0.64604,0.81234,1.1867,0.0092872,0.0092872,0.0092872
9,0.86933,1.2809,1.298,0.61617,0.87844,0.83232,0.75449,0.762273,0.63722,0.9966,1.1985,0.0096832,0.0096832,0.0096832
11,0.83219,1.1887,1.2739,0.75421,0.8851,0.8458,0.75214,0.761506,0.65266,0.64078,1.1778,0.009604,0.009604,0.009604
13,0.81275,1.1225,1.2553,0.75107,0.7533,0.8241,0.75207,0.759273,0.59049,1.0774,1.1624,0.0095248,0.0095248,0.0095248
8,0.89427,1.3209,1.3063,0.68953,0.82912,0.81662,0.74569,0.752783,0.63357,0.77238,1.1705,0.0097228,0.0097228,0.0097228
6,0.9693,1.4462,1.3539,0.72563,0.83315,0.79266,0.71957,0.726879,0.65348,0.99615,1.2245,0.009802,0.009802,0.009802
12,0.83039,1.1583,1.2526,0.65532,0.91219,0.78273,0.71566,0.722367,0.57893,1.2253,1.1505,0.0095644,0.0095644,0.0095644
10,0.8625,1.2333,1.2809,0.7632,0.77872,0.77663,0.7126,0.719003,0.60088,1.0564,1.1614,0.0096436,0.0096436,0.0096436
5,1.0025,1.5213,1.3791,0.72765,0.81909,0.77723,0.70564,0.712799,0.61237,0.94945,1.1881,0.0098416,0.0098416,0.0098416
4,1.0677,1.6554,1.4349,0.72055,0.76803,0.77233,0.67469,0.684454,0.75129,1.0145,1.3122,0.0098812,0.0098812,0.0098812
3,1.1941,1.8605,1.5611,0.59566,0.76768,0.73205,0.64433,0.653102,0.77799,1.1468,1.3534,0.0098812,0.0098812,0.0098812
2,1.3383,2.0599,1.7611,0.42276,0.65829,0.66924,0.58721,0.595413,0.84476,1.643,1.4945,0.010362,0.0098722,0.0098722
1,1.7537,2.4656,2.2764,0.41399,0.73675,0.57578,0.48066,0.490172,1.2767,2.0465,1.9916,0.040415,0.0065914,0.0065914
0,3.9617,4.2954,4.2374,0.19046,0.77194,0.25357,0.18449,0.191398,1.8524,3.3,3.2271,0.070441,0.0032843,0.0032843
